day,hour,is_weekend,is_raining,incident,edge_id,origin,destination,length_km,speed_limit_kmph,congestion_level
0,2,0,0,0,10,KR Puram,Jn-15,2.18,50,0.152
0,2,0,0,0,11,Jn-10,Jn-11,2.47,30,0.152
0,2,0,0,0,12,Jn-10,Jn-20,1.91,30,0.096
0,2,0,0,0,13,Jn-11,Jn-12,1.02,30,0.298
0,2,0,0,0,14,Jn-11,Jn-21,2.21,30,0.054
0,2,0,0,0,15,Jn-12,Jn-13,1.35,60,0.095
0,2,0,0,0,16,Jn-12,MG Road,1.18,30,0.224
0,2,0,0,0,17,Jn-13,Jn-14,1.26,30,0.15
0,2,0,0,0,18,Jn-13,Jn-23,1.99,40,0.106
0,2,0,0,0,19,Jn-14,Jn-15,1.31,60,0.105
0,2,0,0,0,20,Jn-14,Jn-24,2.45,40,0.05
0,2,0,0,0,21,Jn-15,Jn-25,1.59,60,0.129
0,2,0,0,0,22,Jn-20,Jn-21,2.38,60,0.157
0,2,0,0,0,23,Jn-20,Jn-30,1.78,40,0.078
0,2,0,0,0,24,Jn-21,MG Road,1.58,40,0.223
0,2,0,0,0,25,Jn-21,Jn-31,1.88,30,0.175
0,2,0,0,1,26,MG Road,Jn-23,1.81,30,0.683
0,2,0,0,0,27,MG Road,Jn-32,1.25,30,0.17
0,2,0,0,0,28,Jn-23,Jn-24,2.16,60,0.141
0,2,0,0,0,29,Jn-23,Koramangala,1.02,50,0.221
0,2,0,0,0,30,Jn-24,Jn-25,2.09,30,0.162
0,2,0,0,0,31,Jn-24,Jn-34,2.39,40,0.1
0,2,0,0,0,32,Jn-25,Jn-35,2.29,60,0.172
0,2,0,0,0,33,Jn-30,Jn-31,1.14,50,0.133
0,2,0,0,0,34,Jn-30,Jn-40,1.49,50,0.094
0,2,0,0,0,35,Jn-31,Jn-32,1.41,50,0.203
0,2,0,0,0,36,Jn-31,Jn-41,1.18,40,0.181
0,2,0,0,0,37,Jn-32,Koramangala,2.08,50,0.281
0,2,0,0,0,38,Jn-32,Jn-42,1.74,30,0.215
0,2,0,0,0,39,Koramangala,Jn-34,1.17,60,0.098
0,2,0,0,0,40,Koramangala,Jn-43,1.05,50,0.17
0,2,0,0,0,41,Jn-34,Jn-35,1.84,60,0.211
0,2,0,0,0,42,Jn-34,Jn-44,1.37,30,0.142
0,2,0,0,0,43,Jn-35,Jn-45,1.3,30,0.1
0,2,0,0,0,44,Jn-40,Jn-41,1.43,40,0.247
0,2,0,0,0,45,Jn-40,Silk Board,1.94,40,0.157
0,2,0,0,0,46,Jn-41,Jn-42,2.31,60,0.088
0,2,0,0,0,47,Jn-41,Jn-51,1.62,40,0.147
0,2,0,0,0,48,Jn-42,Jn-43,2.21,60,0.172
0,2,0,0,0,49,Jn-42,Jn-52,2.36,30,0.171
0,2,0,0,0,50,Jn-43,Jn-44,1.64,60,0.148
0,2,0,0,0,51,Jn-43,Jn-53,1.46,40,0.181
0,2,0,0,0,52,Jn-44,Jn-45,1.63,30,0.16
0,2,0,0,0,53,Jn-44,Jn-54,1.4,60,0.256
0,2,0,0,0,54,Jn-45,Electronic City,1.48,60,0.186
0,2,0,0,0,55,Silk Board,Jn-51,1.61,40,0.199
0,2,0,0,0,56,Jn-51,Jn-52,2.44,40,0.113
0,2,0,0,0,57,Jn-52,Jn-53,2.07,30,0.073
0,2,0,0,0,58,Jn-53,Jn-54,1.06,30,0.2
0,2,0,0,0,59,Jn-54,Electronic City,1.62,50,0.168
0,3,0,0,0,0,Hebbal,Jn-01,1.56,30,0.169
0,3,0,0,0,1,Hebbal,Jn-10,2.17,30,0.086
0,3,0,0,0,2,Jn-01,Jn-02,1.23,50,0.133
0,3,0,0,0,3,Jn-01,Jn-11,1.5,60,0.195
0,3,0,0,0,4,Jn-02,Jn-03,1.03,40,0.188
0,3,0,0,0,5,Jn-02,Jn-12,2.41,40,0.144
0,3,0,0,0,6,Jn-03,Jn-04,1.28,60,0.152
0,3,0,0,0,7,Jn-03,Jn-13,1.01,30,0.163
0,3,0,0,0,8,Jn-04,KR Puram,1.92,40,0.076
0,3,0,0,0,9,Jn-04,Jn-14,2.46,50,0.183
0,3,0,0,0,10,KR Puram,Jn-15,2.18,50,0.126
0,3,0,0,0,11,Jn-10,Jn-11,2.47,30,0.061
0,3,0,0,0,12,Jn-10,Jn-20,1.91,30,0.225
0,3,0,0,0,13,Jn-11,Jn-12,1.02,30,0.267
0,3,0,0,0,14,Jn-11,Jn-21,2.21,30,0.05
0,3,0,0,0,15,Jn-12,Jn-13,1.35,60,0.128
0,3,0,0,0,16,Jn-12,MG Road,1.18,30,0.252
0,3,0,0,0,17,Jn-13,Jn-14,1.26,30,0.151
0,3,0,0,0,18,Jn-13,Jn-23,1.99,40,0.168
0,3,0,0,0,19,Jn-14,Jn-15,1.31,60,0.132
0,3,0,0,0,20,Jn-14,Jn-24,2.45,40,0.146
0,3,0,0,0,21,Jn-15,Jn-25,1.59,60,0.134
0,3,0,0,0,22,Jn-20,Jn-21,2.38,60,0.17
0,3,0,0,0,23,Jn-20,Jn-30,1.78,40,0.101
0,3,0,0,0,24,Jn-21,MG Road,1.58,40,0.149
0,3,0,0,0,25,Jn-21,Jn-31,1.88,30,0.154
0,3,0,0,0,26,MG Road,Jn-23,1.81,30,0.142
0,3,0,0,0,27,MG Road,Jn-32,1.25,30,0.204
0,3,0,0,0,28,Jn-23,Jn-24,2.16,60,0.108
0,3,0,0,0,29,Jn-23,Koramangala,1.02,50,0.193
0,3,0,0,0,30,Jn-24,Jn-25,2.09,30,0.192
0,3,0,0,0,31,Jn-24,Jn-34,2.39,40,0.133
0,3,0,0,0,32,Jn-25,Jn-35,2.29,60,0.192
0,3,0,0,0,33,Jn-30,Jn-31,1.14,50,0.109
0,3,0,0,0,34,Jn-30,Jn-40,1.49,50,0.143
0,3,0,0,0,35,Jn-31,Jn-32,1.41,50,0.206
0,3,0,0,0,36,Jn-31,Jn-41,1.18,40,0.125
0,3,0,0,0,37,Jn-32,Koramangala,2.08,50,0.26
0,3,0,0,0,38,Jn-32,Jn-42,1.74,30,0.176
0,3,0,0,0,39,Koramangala,Jn-34,1.17,60,0.095
0,3,0,0,0,40,Koramangala,Jn-43,1.05,50,0.125
0,3,0,0,0,41,Jn-34,Jn-35,1.84,60,0.213
0,3,0,0,0,42,Jn-34,Jn-44,1.37,30,0.212
0,3,0,0,0,43,Jn-35,Jn-45,1.3,30,0.123
0,3,0,0,0,44,Jn-40,Jn-41,1.43,40,0.232
0,3,0,0,0,45,Jn-40,Silk Board,1.94,40,0.18
0,3,0,0,0,46,Jn-41,Jn-42,2.31,60,0.055
0,3,0,0,0,47,Jn-41,Jn-51,1.62,40,0.127
0,3,0,0,0,48,Jn-42,Jn-43,2.21,60,0.12
0,3,0,0,0,49,Jn-42,Jn-52,2.36,30,0.131
0,3,0,0,0,50,Jn-43,Jn-44,1.64,60,0.137
0,3,0,0,0,51,Jn-43,Jn-53,1.46,40,0.197
0,3,0,0,0,52,Jn-44,Jn-45,1.63,30,0.204
0,3,0,0,0,53,Jn-44,Jn-54,1.4,60,0.223
0,3,0,0,0,54,Jn-45,Electronic City,1.48,60,0.255
0,3,0,0,0,55,Silk Board,Jn-51,1.61,40,0.243
0,3,0,0,0,56,Jn-51,Jn-52,2.44,40,0.168
0,3,0,0,0,57,Jn-52,Jn-53,2.07,30,0.196
0,3,0,0,0,58,Jn-53,Jn-54,1.06,30,0.275
0,3,0,0,0,59,Jn-54,Electronic City,1.62,50,0.195
0,4,0,0,0,0,Hebbal,Jn-01,1.56,30,0.103
0,4,0,0,0,1,Hebbal,Jn-10,2.17,30,0.143
0,4,0,0,0,2,Jn-01,Jn-02,1.23,50,0.091
0,4,0,0,0,3,Jn-01,Jn-11,1.5,60,0.216
0,4,0,0,0,4,Jn-02,Jn-03,1.03,40,0.182
0,4,0,0,0,5,Jn-02,Jn-12,2.41,40,0.053
0,4,0,0,0,6,Jn-03,Jn-04,1.28,60,0.214
0,4,0,0,0,7,Jn-03,Jn-13,1.01,30,0.053
0,4,0,0,0,8,Jn-04,KR Puram,1.92,40,0.05
0,4,0,0,0,9,Jn-04,Jn-14,2.46,50,0.163
0,4,0,0,0,10,KR Puram,Jn-15,2.18,50,0.16
0,4,0,0,0,11,Jn-10,Jn-11,2.47,30,0.125
0,4,0,0,0,12,Jn-10,Jn-20,1.91,30,0.179
0,4,0,0,0,13,Jn-11,Jn-12,1.02,30,0.283
0,4,0,0,0,14,Jn-11,Jn-21,2.21,30,0.111
0,4,0,0,0,15,Jn-12,Jn-13,1.35,60,0.141
0,4,0,0,0,16,Jn-12,MG Road,1.18,30,0.253
0,4,0,0,0,17,Jn-13,Jn-14,1.26,30,0.1
0,4,0,0,0,18,Jn-13,Jn-23,1.99,40,0.074
0,4,0,0,0,19,Jn-14,Jn-15,1.31,60,0.161
0,4,0,0,0,20,Jn-14,Jn-24,2.45,40,0.141
0,4,0,0,0,21,Jn-15,Jn-25,1.59,60,0.22
0,4,0,0,0,22,Jn-20,Jn-21,2.38,60,0.103
0,4,0,0,0,23,Jn-20,Jn-30,1.78,40,0.104
0,4,0,0,1,24,Jn-21,MG Road,1.58,40,0.671
0,4,0,0,0,25,Jn-21,Jn-31,1.88,30,0.134
0,4,0,0,0,26,MG Road,Jn-23,1.81,30,0.125
0,4,0,0,0,27,MG Road,Jn-32,1.25,30,0.229
0,4,0,0,0,28,Jn-23,Jn-24,2.16,60,0.112
0,4,0,0,0,29,Jn-23,Koramangala,1.02,50,0.121
0,4,0,0,0,30,Jn-24,Jn-25,2.09,30,0.115
0,4,0,0,0,31,Jn-24,Jn-34,2.39,40,0.119
0,4,0,0,0,32,Jn-25,Jn-35,2.29,60,0.188
0,4,0,0,0,33,Jn-30,Jn-31,1.14,50,0.19
0,4,0,0,0,34,Jn-30,Jn-40,1.49,50,0.137
0,4,0,0,0,35,Jn-31,Jn-32,1.41,50,0.14
0,4,0,0,0,36,Jn-31,Jn-41,1.18,40,0.216
0,4,0,0,0,37,Jn-32,Koramangala,2.08,50,0.279
0,4,0,0,0,38,Jn-32,Jn-42,1.74,30,0.193
0,4,0,0,0,39,Koramangala,Jn-34,1.17,60,0.157
0,4,0,0,0,40,Koramangala,Jn-43,1.05,50,0.159
0,4,0,0,0,41,Jn-34,Jn-35,1.84,60,0.261
0,4,0,0,0,42,Jn-34,Jn-44,1.37,30,0.202
0,4,0,0,0,43,Jn-35,Jn-45,1.3,30,0.099
0,4,0,0,0,44,Jn-40,Jn-41,1.43,40,0.171
0,4,0,0,0,45,Jn-40,Silk Board,1.94,40,0.165
0,4,0,0,0,46,Jn-41,Jn-42,2.31,60,0.173
0,4,0,0,0,47,Jn-41,Jn-51,1.62,40,0.196
0,4,0,0,0,48,Jn-42,Jn-43,2.21,60,0.117
0,4,0,0,0,49,Jn-42,Jn-52,2.36,30,0.099
0,4,0,0,0,50,Jn-43,Jn-44,1.64,60,0.065
0,4,0,0,0,51,Jn-43,Jn-53,1.46,40,0.216
0,4,0,0,0,52,Jn-44,Jn-45,1.63,30,0.22
0,4,0,0,0,53,Jn-44,Jn-54,1.4,60,0.216
0,4,0,0,0,54,Jn-45,Electronic City,1.48,60,0.172
0,4,0,0,0,55,Silk Board,Jn-51,1.61,40,0.14
0,4,0,0,0,56,Jn-51,Jn-52,2.44,40,0.166
0,4,0,0,0,57,Jn-52,Jn-53,2.07,30,0.175
0,4,0,0,0,58,Jn-53,Jn-54,1.06,30,0.266
0,4,0,0,0,59,Jn-54,Electronic City,1.62,50,0.135
0,5,0,0,0,0,Hebbal,Jn-01,1.56,30,0.106
0,5,0,0,0,1,Hebbal,Jn-10,2.17,30,0.136
0,5,0,0,0,2,Jn-01,Jn-02,1.23,50,0.138
0,5,0,0,0,3,Jn-01,Jn-11,1.5,60,0.118
0,5,0,0,0,4,Jn-02,Jn-03,1.03,40,0.188
0,5,0,0,0,5,Jn-02,Jn-12,2.41,40,0.123
0,5,0,0,0,6,Jn-03,Jn-04,1.28,60,0.218
0,5,0,0,0,7,Jn-03,Jn-13,1.01,30,0.067
0,5,0,0,0,8,Jn-04,KR Puram,1.92,40,0.081
0,5,0,0,0,9,Jn-04,Jn-14,2.46,50,0.146
0,5,0,0,0,10,KR Puram,Jn-15,2.18,50,0.093
0,5,0,0,0,11,Jn-10,Jn-11,2.47,30,0.106
0,5,0,0,0,12,Jn-10,Jn-20,1.91,30,0.179
0,5,0,0,0,13,Jn-11,Jn-12,1.02,30,0.212
0,5,0,0,0,14,Jn-11,Jn-21,2.21,30,0.165
0,5,0,0,0,15,Jn-12,Jn-13,1.35,60,0.133
0,5,0,0,0,16,Jn-12,MG Road,1.18,30,0.185
0,5,0,0,0,17,Jn-13,Jn-14,1.26,30,0.087
0,5,0,0,0,18,Jn-13,Jn-23,1.99,40,0.139
0,5,0,0,0,19,Jn-14,Jn-15,1.31,60,0.066
0,5,0,0,0,20,Jn-14,Jn-24,2.45,40,0.124
0,5,0,0,0,21,Jn-15,Jn-25,1.59,60,0.122
0,5,0,0,0,22,Jn-20,Jn-21,2.38,60,0.246
0,5,0,0,0,23,Jn-20,Jn-30,1.78,40,0.129
0,5,0,0,1,24,Jn-21,MG Road,1.58,40,0.682
0,5,0,0,0,25,Jn-21,Jn-31,1.88,30,0.17
0,5,0,0,0,26,MG Road,Jn-23,1.81,30,0.121
0,5,0,0,0,27,MG Road,Jn-32,1.25,30,0.218
0,5,0,0,0,28,Jn-23,Jn-24,2.16,60,0.096
0,5,0,0,0,29,Jn-23,Koramangala,1.02,50,0.208
0,5,0,0,0,30,Jn-24,Jn-25,2.09,30,0.148
0,5,0,0,0,31,Jn-24,Jn-34,2.39,40,0.05
0,5,0,0,0,32,Jn-25,Jn-35,2.29,60,0.241
0,5,0,0,0,33,Jn-30,Jn-31,1.14,50,0.116
0,5,0,0,0,34,Jn-30,Jn-40,1.49,50,0.145
0,5,0,0,0,35,Jn-31,Jn-32,1.41,50,0.064
0,5,0,0,0,36,Jn-31,Jn-41,1.18,40,0.24
0,5,0,0,0,37,Jn-32,Koramangala,2.08,50,0.157
0,5,0,0,0,38,Jn-32,Jn-42,1.74,30,0.189
0,5,0,0,0,39,Koramangala,Jn-34,1.17,60,0.134
0,5,0,0,0,40,Koramangala,Jn-43,1.05,50,0.113
0,5,0,0,0,41,Jn-34,Jn-35,1.84,60,0.218
0,5,0,0,0,42,Jn-34,Jn-44,1.37,30,0.222
0,5,0,0,0,43,Jn-35,Jn-45,1.3,30,0.05
0,5,0,0,0,44,Jn-40,Jn-41,1.43,40,0.18
0,5,0,0,0,45,Jn-40,Silk Board,1.94,40,0.14
0,5,0,0,0,46,Jn-41,Jn-42,2.31,60,0.106
0,5,0,0,0,47,Jn-41,Jn-51,1.62,40,0.159
0,5,0,0,0,48,Jn-42,Jn-43,2.21,60,0.092
0,5,0,0,0,49,Jn-42,Jn-52,2.36,30,0.087
0,5,0,0,0,50,Jn-43,Jn-44,1.64,60,0.103
0,5,0,0,0,51,Jn-43,Jn-53,1.46,40,0.144
0,5,0,0,0,52,Jn-44,Jn-45,1.63,30,0.194
0,5,0,0,0,53,Jn-44,Jn-54,1.4,60,0.257
0,5,0,0,0,54,Jn-45,Electronic City,1.48,60,0.206
0,5,0,0,0,55,Silk Board,Jn-51,1.61,40,0.253
0,5,0,0,0,56,Jn-51,Jn-52,2.44,40,0.15
0,5,0,0,0,57,Jn-52,Jn-53,2.07,30,0.122
0,5,0,0,0,58,Jn-53,Jn-54,1.06,30,0.322
0,5,0,0,0,59,Jn-54,Electronic City,1.62,50,0.163
0,6,0,0,0,0,Hebbal,Jn-01,1.56,30,0.089
0,6,0,0,0,1,Hebbal,Jn-10,2.17,30,0.167
0,6,0,0,0,2,Jn-01,Jn-02,1.23,50,0.133
0,6,0,0,0,3,Jn-01,Jn-11,1.5,60,0.158
0,6,0,0,0,4,Jn-02,Jn-03,1.03,40,0.244
0,6,0,0,0,5,Jn-02,Jn-12,2.41,40,0.055
0,6,0,0,0,6,Jn-03,Jn-04,1.28,60,0.096
0,6,0,0,0,7,Jn-03,Jn-13,1.01,30,0.163
0,6,0,0,0,8,Jn-04,KR Puram,1.92,40,0.087
0,6,0,0,0,9,Jn-04,Jn-14,2.46,50,0.154
0,6,0,0,0,10,KR Puram,Jn-15,2.18,50,0.123
0,6,0,0,0,11,Jn-10,Jn-11,2.47,30,0.076
0,6,0,0,0,12,Jn-10,Jn-20,1.91,30,0.131
0,6,0,0,0,13,Jn-11,Jn-12,1.02,30,0.199
0,6,0,0,0,14,Jn-11,Jn-21,2.21,30,0.068
0,6,0,0,0,15,Jn-12,Jn-13,1.35,60,0.129
0,6,0,0,0,16,Jn-12,MG Road,1.18,30,0.208
0,6,0,0,0,17,Jn-13,Jn-14,1.26,30,0.086
0,6,0,0,0,18,Jn-13,Jn-23,1.99,40,0.154
0,6,0,0,0,19,Jn-14,Jn-15,1.31,60,0.105
0,6,0,0,0,20,Jn-14,Jn-24,2.45,40,0.136
0,6,0,0,0,21,Jn-15,Jn-25,1.59,60,0.134
0,6,0,0,0,22,Jn-20,Jn-21,2.38,60,0.144
0,6,0,0,0,23,Jn-20,Jn-30,1.78,40,0.158
0,6,0,0,0,24,Jn-21,MG Road,1.58,40,0.182
0,6,0,0,0,25,Jn-21,Jn-31,1.88,30,0.13
0,6,0,0,0,26,MG Road,Jn-23,1.81,30,0.058
0,6,0,0,0,27,MG Road,Jn-32,1.25,30,0.249
0,6,0,0,0,28,Jn-23,Jn-24,2.16,60,0.102
0,6,0,0,0,29,Jn-23,Koramangala,1.02,50,0.145
0,6,0,0,0,30,Jn-24,Jn-25,2.09,30,0.181
0,6,0,0,0,31,Jn-24,Jn-34,2.39,40,0.05
0,6,0,0,0,32,Jn-25,Jn-35,2.29,60,0.128
0,6,0,0,0,33,Jn-30,Jn-31,1.14,50,0.116
0,6,0,0,0,34,Jn-30,Jn-40,1.49,50,0.109
0,6,0,0,0,35,Jn-31,Jn-32,1.41,50,0.184
0,6,0,0,0,36,Jn-31,Jn-41,1.18,40,0.16
0,6,0,0,0,37,Jn-32,Koramangala,2.08,50,0.208
0,6,0,0,0,38,Jn-32,Jn-42,1.74,30,0.299
0,6,0,0,0,39,Koramangala,Jn-34,1.17,60,0.05
0,6,0,0,0,40,Koramangala,Jn-43,1.05,50,0.146
0,6,0,0,0,41,Jn-34,Jn-35,1.84,60,0.199
0,6,0,0,0,42,Jn-34,Jn-44,1.37,30,0.137
0,6,0,0,0,43,Jn-35,Jn-45,1.3,30,0.122
0,6,0,0,0,44,Jn-40,Jn-41,1.43,40,0.256
0,6,0,0,0,45,Jn-40,Silk Board,1.94,40,0.207
0,6,0,0,0,46,Jn-41,Jn-42,2.31,60,0.084
0,6,0,0,0,47,Jn-41,Jn-51,1.62,40,0.258
0,6,0,0,0,48,Jn-42,Jn-43,2.21,60,0.063
